Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Comments
1,Document,,,,,,,,,,Mind map,
2,Page,,,,,,,,,,Page 1,
3,Circle,Geometric Shapes,2,,,,,,,,,
4,Circle,Geometric Shapes,2,,,,,,,,SUPPORT,
5,Circle,Geometric Shapes,2,,,,,,,,STABILITY,
6,Circle,Geometric Shapes,2,,,,,,,,PLUGINS,
7,Circle,Geometric Shapes,2,,,,,,,,PR,
8,Circle,Geometric Shapes,2,,,,,,,,COLLECT AND FIX BUGS,
9,Circle,Geometric Shapes,2,,,,,,,,OPTIMIZE UI TESTS,
10,Circle,Geometric Shapes,2,,,,,,,,IDEAS,
11,Circle,Geometric Shapes,2,,,,,,,,COMPONENTS,
12,Circle,Geometric Shapes,2,,,,,,,,TELEGRAM POSTS,
13,Circle,Geometric Shapes,2,,,,,,,,"MIGRATION
OF
PROJECTS",
14,Circle,Geometric Shapes,2,,,,,,,,IDEAS,
15,Circle,Geometric Shapes,2,,,,,,,,HABR/MEDIUM ARTICLES,
16,Circle,Geometric Shapes,2,,,,,,,,IMPL,
17,User Image,User Images,2,,,,,,,,,
18,Circle,Geometric Shapes,2,,,,,,,,"UPDATING OF
DOCS",
19,Circle,Geometric Shapes,2,,,,,,,,IMPL,
20,Circle,Geometric Shapes,2,,,,,,,,DECORATION,
21,Circle,Geometric Shapes,2,,,,,,,,EXAMPLE,
22,Circle,Geometric Shapes,2,,,,,,,,EXAMPLE,
23,Circle,Geometric Shapes,2,,,,,,,,UI/UIT TESTS,
24,Circle,Geometric Shapes,2,,,,,,,,SNAPSHOT TEST,
25,Line,,2,,,3,4,None,None,,,
26,Line,,2,,,3,5,None,None,,,
27,Line,,2,,,3,6,None,None,,,
28,Line,,2,,,3,7,None,None,,,
29,Line,,2,,,5,9,None,None,,,
30,Line,,2,,,5,8,None,None,,,
31,Line,,2,,,6,10,None,None,,,
32,Line,,2,,,3,11,None,None,,,
33,Line,,2,,,13,4,None,None,,,
34,Line,,2,,,15,7,None,None,,,
35,Line,,2,,,12,7,None,None,,,
36,Line,,2,,,14,11,None,None,,,
37,Line,,2,,,10,16,None,None,,,
38,Line,,2,,,18,4,None,None,,,
39,Line,,2,,,19,14,None,None,,,
40,Line,,2,,,20,19,None,None,,,
41,Line,,2,,,21,19,None,None,,,
42,Line,,2,,,16,22,None,None,,,
43,Line,,2,,,16,23,None,None,,,
44,Line,,2,,,24,19,None,None,,,
